Medal,Number_of_Medals,region,Year,Sport
Bronze,2,Ethiopia,1992,Athletics
Bronze,12,Lithuania,2000,Basketball
Silver,17,Spain,2000,Football
Silver,15,Germany,1988,Athletics
Silver,15,France,1920,Rugby
Silver,2,Spain,2012,Swimming
Silver,3,Italy,2000,Archery
Bronze,5,France,1996,Fencing
Bronze,5,USA,1956,Swimming
Gold,1,Mexico,1956,Diving
Gold,3,USA,1992,Tennis
Gold,13,Hungary,1952,Water Polo
Silver,2,UK,2000,Athletics
Bronze,4,France,1998,Nordic Combined
Bronze,24,USA,1992,Volleyball
Bronze,4,Netherlands,2008,Judo
Bronze,2,France,1984,Alpine Skiing
Gold,7,Norway,1908,Shooting
Silver,1,Turkey,2012,Athletics
Gold,1,USA,1952,Figure Skating
Bronze,3,Australia,1956,Sailing
Silver,12,Spain,2012,Basketball
Gold,7,Australia,2016,Swimming
Silver,3,Romania,1996,Fencing
Silver,2,USA,1908,Shooting
Bronze,10,Russia,1956,Water Polo
Silver,1,France,2010,Snowboarding
Silver,3,Russia,1980,Wrestling
Silver,1,Germany,1936,Figure Skating
Bronze,17,Switzerland,1948,Ice Hockey
Gold,10,Hungary,1932,Water Polo
Gold,20,USA,1936,Athletics
Silver,2,Netherlands,2000,Tennis
Silver,5,Netherlands,2002,Speed Skating
Silver,2,Germany,1912,Athletics
Bronze,3,USA,1964,Boxing
Bronze,10,Italy,2004,Rowing
Gold,2,Russia,1980,Rowing
Bronze,2,Russia,2000,Shooting
Gold,3,Denmark,1948,Rowing
Bronze,9,Australia,1952,Rowing
Silver,9,Canada,1960,Rowing
Bronze,11,Russia,1956,Gymnastics
Gold,3,UK,2012,Canoeing
Bronze,1,Czech Republic,1992,Figure Skating
Gold,3,USA,1988,Canoeing
Silver,2,Canada,1984,Cycling
Gold,16,Germany,1992,Hockey
Gold,1,Norway,1912,Athletics
Bronze,6,Russia,1956,Fencing
Bronze,18,Canada,1968,Ice Hockey
Bronze,3,France,2004,Cycling
Silver,3,Australia,1968,Athletics
Bronze,6,Canada,1936,Athletics
Gold,5,Italy,1952,Cycling
Silver,1,Italy,1998,Biathlon
Bronze,9,Netherlands,2012,Rowing
Bronze,3,Denmark,1948,Sailing
Bronze,5,Switzerland,1968,Rowing
Silver,6,Czech Republic,1964,Gymnastics
Bronze,1,Finland,1932,Boxing
