Sport,max_medals,best_region
Aeronautics,1,Switzerland
Alpine Skiing,114,Austria
Alpinism,12,UK
Archery,69,South Korea
Art Competitions,26,Germany
Athletics,1080,USA
Badminton,64,China
Baseball,112,Cuba
Basketball,341,USA
Basque Pelota,2,Spain
Beach Volleyball,26,Brazil
Biathlon,114,Germany
Bobsleigh,117,Germany
Boxing,113,USA
Canoeing,229,Germany
Cricket,21,UK
Croquet,8,France
Cross Country Skiing,172,Russia
Curling,48,Canada
Cycling,182,UK
Diving,140,USA
Equestrianism,205,Germany
Fencing,359,Italy
Figure Skating,105,Russia
Football,173,Germany
Freestyle Skiing,21,USA
Golf,38,USA
Gymnastics,399,Russia
Handball,167,Russia
Hockey,255,Netherlands
Ice Hockey,348,Canada
Jeu De Paume,2,UK
Judo,84,Japan
Lacrosse,36,Canada
Luge,98,Germany
Military Ski Patrol,4,France
Modern Pentathlon,38,Hungary
Motorboating,6,UK
Nordic Combined,40,Norway
Polo,30,UK
Racquets,10,UK
Rhythmic Gymnastics,49,Russia
Roque,3,USA
Rowing,471,Germany
Rugby,49,France
Rugby Sevens,13,South Africa
Sailing,143,UK
Shooting,193,USA
Short Track Speed Skating,73,South Korea
Skeleton,8,USA
Ski Jumping,43,Austria
Snowboarding,24,USA
Softball,60,Australia
Speed Skating,117,Netherlands
Swimming,1078,USA
Synchronized Swimming,54,Russia
Table Tennis,83,China
Taekwondo,19,South Korea
Tennis,67,UK
Trampolining,11,China
Triathlon,5,UK
Tug-Of-War,40,UK
Volleyball,219,Russia
Water Polo,172,Hungary
Weightlifting,97,Russia
Wrestling,192,Russia
