Medal,Number_of_Medals,Sex,Year,region,Sport
Bronze,20,M,1980,Sweden,Ice Hockey
Silver,9,M,1976,Russia,Gymnastics
Bronze,1,M,1972,Sweden,Biathlon
Gold,5,M,1964,Sweden,Cross Country Skiing
Silver,1,M,1908,Australia,Boxing
Bronze,2,F,2012,Australia,Swimming
Gold,1,F,1992,Italy,Cross Country Skiing
Bronze,1,M,2000,Ukraine,Gymnastics
Bronze,2,M,1920,UK,Wrestling
Silver,3,M,1968,Russia,Weightlifting
Gold,1,F,2006,Russia,Speed Skating
Silver,2,M,1984,France,Canoeing
Silver,1,M,1964,Romania,Wrestling
Gold,1,M,1992,Brazil,Judo
Silver,4,F,2016,Netherlands,Rowing
Silver,16,M,1984,Brazil,Football
Gold,3,F,1984,Sweden,Canoeing
Silver,1,M,1908,France,Athletics
Gold,8,F,1980,Germany,Athletics
Bronze,18,M,1976,Germany,Ice Hockey
Silver,2,M,2012,Russia,Weightlifting
Gold,4,M,1900,France,Croquet
Bronze,4,M,1994,France,Biathlon
Bronze,1,F,1992,Germany,Diving
Gold,12,F,1976,Russia,Basketball
Silver,1,F,1980,Germany,Speed Skating
Silver,3,M,2000,Italy,Archery
Silver,1,M,2004,Netherlands,Cycling
Gold,1,F,1928,France,Figure Skating
Bronze,2,M,1956,Russia,Canoeing
Bronze,1,F,2016,Russia,Wrestling
Silver,2,M,2012,Spain,Canoeing
Gold,2,M,1952,Argentina,Rowing
Gold,8,M,1912,Sweden,Tug-Of-War
Bronze,12,F,1988,Romania,Rowing
Silver,2,M,2012,Iran,Weightlifting
Silver,20,F,2002,USA,Ice Hockey
Bronze,4,M,1984,South Korea,Wrestling
Bronze,8,F,2000,Canada,Synchronized Swimming
Bronze,7,M,1952,Hungary,Fencing
Bronze,6,M,2012,New Zealand,Cycling
Bronze,14,M,1932,USA,Hockey
Silver,2,M,1964,Italy,Bobsleigh
Bronze,5,M,1968,Australia,Swimming
Silver,17,M,1964,Czech Republic,Football
Gold,5,F,2016,Australia,Swimming
Gold,4,M,1932,Sweden,Sailing
Bronze,4,M,1908,Canada,Cycling
Bronze,5,M,1928,Argentina,Fencing
Gold,5,F,2006,Germany,Speed Skating
Silver,22,M,1992,Canada,Ice Hockey
Bronze,5,F,1952,UK,Athletics
Silver,9,F,1976,USA,Swimming
Bronze,9,M,1980,Mexico,Equestrianism
Gold,2,F,1994,Canada,Biathlon
Silver,5,F,1964,Australia,Swimming
Silver,8,M,2016,Australia,Rowing
Silver,1,M,1948,Canada,Canoeing
Silver,5,M,2016,Slovakia,Canoeing
Gold,1,M,1960,Ethiopia,Athletics
Gold,22,M,2002,Canada,Ice Hockey
Gold,11,M,1968,Serbia,Water Polo
Gold,3,F,1992,Germany,Speed Skating
Bronze,2,M,1924,Netherlands,Cycling
Gold,17,M,1948,USA,Athletics
Gold,17,M,1976,Germany,Football
Bronze,3,M,2014,Poland,Speed Skating
Bronze,2,M,1984,UK,Judo
Bronze,1,M,1936,Italy,Modern Pentathlon
Silver,1,F,1912,UK,Tennis
