Medal,Number_of_Medals,Sex,Year,region,Sport,Age_Group
Silver,1,M,1992,Italy,Rowing,between 20-30
Silver,2,M,1912,Sweden,Athletics,< under 20
Silver,3,M,2008,Nigeria,Football,< under 20
Silver,8,M,2012,Italy,Water Polo,between 20-30
Gold,2,M,2000,Australia,Cycling,between 20-30
Gold,2,M,1948,Turkey,Wrestling,between 20-30
Silver,18,M,2010,USA,Ice Hockey,between 20-30
Bronze,4,M,1956,USA,Athletics,between 20-30
Gold,11,M,2004,Croatia,Handball,between 20-30
Silver,1,M,2012,Guatemala,Athletics,between 20-30
Silver,2,M,1948,USA,Speed Skating,between 20-30
Silver,5,F,1992,Germany,Fencing,between 20-30
Gold,13,F,2000,USA,Swimming,between 20-30
Bronze,1,M,1972,Poland,Cycling,between 20-30
Silver,1,M,1984,USA,Judo,between 20-30
Silver,2,M,1968,Russia,Weightlifting,between 20-30
Bronze,6,M,1912,Norway,Rowing,between 20-30
Silver,14,F,2016,Netherlands,Hockey,between 20-30
Gold,9,M,2000,Serbia,Volleyball,between 20-30
Silver,2,M,1960,Norway,Cross Country Skiing,over 30
Gold,1,F,2012,France,Cycling,between 20-30
Silver,8,F,1980,Germany,Volleyball,between 20-30
Bronze,7,F,2008,USA,Swimming,between 20-30
Bronze,1,F,1992,Russia,Short Track Speed Skating,< under 20
Bronze,11,M,1968,Russia,Basketball,between 20-30
Silver,7,M,1980,Russia,Gymnastics,between 20-30
Gold,9,M,1956,Italy,Fencing,over 30
Gold,1,F,1972,Netherlands,Speed Skating,over 30
Silver,1,M,2000,Bulgaria,Wrestling,between 20-30
Bronze,3,F,2008,Greece,Sailing,between 20-30
Silver,10,M,1992,Netherlands,Volleyball,between 20-30
Gold,13,F,2004,USA,Softball,between 20-30
Gold,1,M,2008,Germany,Judo,between 20-30
Gold,1,M,1952,Russia,Shooting,between 20-30
Silver,1,F,1932,Germany,Athletics,between 20-30
Bronze,1,F,2006,Norway,Snowboarding,between 20-30
Silver,3,M,2016,Croatia,Water Polo,over 30
Gold,1,M,2016,Australia,Sailing,between 20-30
Silver,2,M,2012,Spain,Canoeing,between 20-30
Silver,1,M,1928,Sweden,Ice Hockey,over 30
Gold,3,M,1994,Italy,Cross Country Skiing,over 30
Gold,1,M,2004,Lithuania,Athletics,over 30
Gold,5,F,2004,Italy,Water Polo,over 30
Bronze,5,M,1912,Denmark,Shooting,over 30
Bronze,1,M,1964,USA,Diving,< under 20
Silver,1,M,1992,Spain,Tennis,between 20-30
Bronze,1,M,1976,Hungary,Weightlifting,between 20-30
Silver,1,M,1968,Hungary,Modern Pentathlon,between 20-30
Silver,18,M,1988,Finland,Ice Hockey,between 20-30
Bronze,6,F,1996,Russia,Rhythmic Gymnastics,< under 20
Bronze,1,M,1904,USA,Archery,between 20-30
Silver,16,M,1912,UK,Shooting,over 30
Gold,1,F,1964,USA,Diving,< under 20
Bronze,1,M,1988,Morocco,Boxing,between 20-30
Silver,1,M,2000,Saudi Arabia,Athletics,between 20-30
Bronze,1,F,1980,Russia,Luge,< under 20
Bronze,1,M,2000,Russia,Athletics,over 30
Bronze,1,F,2012,Brazil,Boxing,between 20-30
Gold,10,M,1960,Italy,Cycling,between 20-30
Gold,1,M,1992,USA,Wrestling,over 30
Gold,3,M,2000,Germany,Equestrianism,over 30
Bronze,1,M,1936,Italy,Fencing,between 20-30
Bronze,1,F,1968,Switzerland,Alpine Skiing,between 20-30
Gold,9,M,1956,Hungary,Water Polo,between 20-30
Bronze,1,M,2016,Ukraine,Athletics,between 20-30
Bronze,4,M,1964,Netherlands,Rowing,between 20-30
Bronze,1,M,1928,Canada,Swimming,< under 20
Bronze,1,M,2008,France,Gymnastics,between 20-30
Bronze,3,M,2016,Iran,Wrestling,between 20-30
Bronze,1,M,2012,Russia,Gymnastics,< under 20
Bronze,1,M,1992,Morocco,Boxing,between 20-30
Bronze,2,M,1948,Sweden,Sailing,between 20-30
